x,ring,p_ring,year,nest,nest_index,birdid,sex,num_start,num_end,start_time,end_time,dur_seconds,dur_mins,dur_hr,breed_stage,e_hatch_d,l_status,startdate_new,no_days
1,6234508,1,2022,C2,C2_3,C2_bird1,Female,1656322500,1656564300,27/06/2022 11:35,30/06/2022 06:45,241800,4030,67.16666667,incu,14/07/2022,L,27/06/2022,26
2,6234508,1,2022,C2,C2_5,C2_bird1,Female,1656573300,1656580500,30/06/2022 09:15,30/06/2022 11:15,7200,120,2,incu,14/07/2022,L,30/06/2022,29
3,6234508,1,2022,C2,C2_1,C2_bird1,Female,1656063600,1656116100,24/06/2022 11:40,25/06/2022 02:15,52500,875,14.58333333,incu,14/07/2022,L,24/06/2022,23
4,6234508,1,2022,C2,C2_11,C2_bird1,Female,1657018800,1657102800,05/07/2022 13:00,06/07/2022 12:20,84000,1400,23.33333333,incu,14/07/2022,L,05/07/2022,34
5,6234508,1,2022,C2,C2_9,C2_bird1,Female,1656795300,1656805200,02/07/2022 22:55,03/07/2022 01:40,9900,165,2.75,incu,14/07/2022,L,02/07/2022,31
6,6234508,1,2022,C2,C2_15,C2_bird1,Female,1657134300,1657153200,06/07/2022 21:05,07/07/2022 02:20,18900,315,5.25,incu,14/07/2022,L,06/07/2022,35
7,6234508,1,2022,C2,C2_17,C2_bird1,Female,1657162200,1657231800,07/07/2022 04:50,08/07/2022 00:10,69600,1160,19.33333333,incu,14/07/2022,L,07/07/2022,36
8,6207505,2,2022,F5,F5_1,F5_bird1,Male,1656146700,1656340200,25/06/2022 10:45,27/06/2022 16:30,193500,3225,53.75,incu,12/07/2022,L,25/06/2022,24
9,6207505,2,2022,F5,F5_5,F5_bird1,Male,1656855600,1656981300,03/07/2022 15:40,05/07/2022 02:35,125700,2095,34.91666667,incu,12/07/2022,L,03/07/2022,32
10,6207505,2,2022,F5,F5_13,F5_bird1,Male,1657258200,1657348500,08/07/2022 07:30,09/07/2022 08:35,90300,1505,25.08333333,incu,12/07/2022,L,08/07/2022,37
11,6207505,2,2022,F5,F5_3,F5_bird1,Male,1656585600,1656669600,30/06/2022 12:40,01/07/2022 12:00,84000,1400,23.33333333,incu,12/07/2022,L,30/06/2022,29
12,6207505,2,2022,F5,F5_11,F5_bird1,Male,1657032600,1657066800,05/07/2022 16:50,06/07/2022 02:20,34200,570,9.5,incu,12/07/2022,L,05/07/2022,34
13,6207505,2,2022,F5,F5_7,F5_bird1,Male,1656989100,1657009800,05/07/2022 04:45,05/07/2022 10:30,20700,345,5.75,incu,12/07/2022,L,05/07/2022,34
14,6207505,2,2022,F5,F5_15,F5_bird1,Male,1657518900,1657581600,11/07/2022 07:55,12/07/2022 01:20,62700,1045,17.41666667,incu,12/07/2022,L,11/07/2022,40
15,6234466,3,2022,K3,K3_1,K3_bird1,Female,1656072600,1656133800,24/06/2022 14:10,25/06/2022 07:10,61200,1020,17,incu,17/07/2022,L,24/06/2022,23
16,6234466,3,2022,K3,K3_17,K3_bird1,Female,1657043100,1657192200,05/07/2022 19:45,07/07/2022 13:10,149100,2485,41.41666667,incu,17/07/2022,L,05/07/2022,34
17,6234466,3,2022,K3,K3_7,K3_bird1,Female,1656338700,1656510600,27/06/2022 16:05,29/06/2022 15:50,171900,2865,47.75,incu,17/07/2022,L,27/06/2022,26
18,6234466,3,2022,K3,K3_5,K3_bird1,Female,1656233700,1656276300,26/06/2022 10:55,26/06/2022 22:45,42600,710,11.83333333,incu,17/07/2022,L,26/06/2022,25
19,6234466,3,2022,K3,K3_3,K3_bird1,Female,1656147300,1656165600,25/06/2022 10:55,25/06/2022 16:00,18300,305,5.083333333,incu,17/07/2022,L,25/06/2022,24
20,6234466,3,2022,K3,K3_15,K3_bird1,Female,1656919200,1656955800,04/07/2022 09:20,04/07/2022 19:30,36600,610,10.16666667,incu,17/07/2022,L,04/07/2022,33
21,6234466,3,2022,K3,K3_25,K3_bird1,Female,1657871700,1658013600,15/07/2022 09:55,17/07/2022 01:20,141900,2365,39.41666667,incu,17/07/2022,L,15/07/2022,44
22,6234466,3,2022,K3,K3_11,K3_bird1,Female,1656614700,1656808800,30/06/2022 20:45,03/07/2022 02:40,194100,3235,53.91666667,incu,17/07/2022,L,30/06/2022,29
23,6234466,3,2022,K3,K3_21,K3_bird1,Female,1657575300,1657713300,11/07/2022 23:35,13/07/2022 13:55,138000,2300,38.33333333,incu,17/07/2022,L,11/07/2022,40
24,6234466,3,2022,K3,K3_19,K3_bird1,Female,1657210500,1657395300,07/07/2022 18:15,09/07/2022 21:35,184800,3080,51.33333333,incu,17/07/2022,L,07/07/2022,36
25,6255202,4,2022,K5,K5_41,K5_bird1,Male,1657736700,1657768500,13/07/2022 20:25,14/07/2022 05:15,31800,530,8.833333333,incu,14/07/2022,L,13/07/2022,42
26,6255202,4,2022,K5,K5_29,K5_bird1,Male,1657361100,1657402200,09/07/2022 12:05,09/07/2022 23:30,41100,685,11.41666667,incu,14/07/2022,L,09/07/2022,38
27,6255202,4,2022,K5,K5_9,K5_bird1,Male,1656463800,1656482700,29/06/2022 02:50,29/06/2022 08:05,18900,315,5.25,incu,14/07/2022,L,29/06/2022,28
28,6255202,4,2022,K5,K5_11,K5_bird1,Male,1656516900,1656652500,29/06/2022 17:35,01/07/2022 07:15,135600,2260,37.66666667,incu,14/07/2022,L,29/06/2022,28
29,6255202,4,2022,K5,K5_5,K5_bird1,Male,1656218400,1656236100,26/06/2022 06:40,26/06/2022 11:35,17700,295,4.916666667,incu,14/07/2022,L,26/06/2022,25
30,6255202,4,2022,K5,K5_7,K5_bird1,Male,1656279600,1656403200,26/06/2022 23:40,28/06/2022 10:00,123600,2060,34.33333333,incu,14/07/2022,L,26/06/2022,25
31,6255202,4,2022,K5,K5_27,K5_bird1,Male,1657266900,1657324800,08/07/2022 09:55,09/07/2022 02:00,57900,965,16.08333333,incu,14/07/2022,L,08/07/2022,37
32,6255202,4,2022,K5,K5_31,K5_bird1,Male,1657469100,1657485900,10/07/2022 18:05,10/07/2022 22:45,16800,280,4.666666667,incu,14/07/2022,L,10/07/2022,39
33,6255202,4,2022,K5,K5_37,K5_bird1,Male,1657523700,1657631400,11/07/2022 09:15,12/07/2022 15:10,107700,1795,29.91666667,incu,14/07/2022,L,11/07/2022,40
34,6255202,4,2022,K5,K5_17,K5_bird1,Male,1656927600,1656962100,04/07/2022 11:40,04/07/2022 21:15,34500,575,9.583333333,incu,14/07/2022,L,04/07/2022,33
35,6255202,4,2022,K5,K5_23,K5_bird1,Male,1657084200,1657131000,06/07/2022 07:10,06/07/2022 20:10,46800,780,13,incu,14/07/2022,L,06/07/2022,35
36,6255202,4,2022,K5,K5_39,K5_bird1,Male,1657696800,1657713600,13/07/2022 09:20,13/07/2022 14:00,16800,280,4.666666667,incu,14/07/2022,L,13/07/2022,42
37,6255202,4,2022,K5,K5_19,K5_bird1,Male,1656979200,1656998100,05/07/2022 02:00,05/07/2022 07:15,18900,315,5.25,incu,14/07/2022,L,05/07/2022,34
38,6255202,4,2022,K5,K5_21,K5_bird1,Male,1657010100,1657043100,05/07/2022 10:35,05/07/2022 19:45,33000,550,9.166666667,incu,14/07/2022,L,05/07/2022,34
39,6234518,5,2022,llb1,llb1_11,llb1_bird1,Female,1657160700,1657244400,07/07/2022 04:25,08/07/2022 03:40,83700,1395,23.25,incu,16/07/2022,L,07/07/2022,36
40,6234518,5,2022,llb1,llb1_15,llb1_bird1,Female,1657423500,1657445100,10/07/2022 05:25,10/07/2022 11:25,21600,360,6,incu,16/07/2022,L,10/07/2022,39
41,6234518,5,2022,llb1,llb1_5,llb1_bird1,Female,1656854400,1656932400,03/07/2022 15:20,04/07/2022 13:00,78000,1300,21.66666667,incu,16/07/2022,L,03/07/2022,32
42,6234518,5,2022,llb1,llb1_3,llb1_bird1,Female,1656628200,1656774600,01/07/2022 00:30,02/07/2022 17:10,146400,2440,40.66666667,incu,16/07/2022,L,01/07/2022,30
43,6234518,5,2022,llb1,llb1_7,llb1_bird1,Female,1657024800,1657089600,05/07/2022 14:40,06/07/2022 08:40,64800,1080,18,incu,16/07/2022,L,05/07/2022,34
44,6234518,5,2022,llb1,llb1_1,llb1_bird1,Female,1656489300,1656557400,29/06/2022 09:55,30/06/2022 04:50,68100,1135,18.91666667,incu,16/07/2022,L,29/06/2022,28
45,6234518,5,2022,llb1,llb1_17,llb1_bird1,Female,1657462200,1657549200,10/07/2022 16:10,11/07/2022 16:20,87000,1450,24.16666667,incu,16/07/2022,L,10/07/2022,39
46,6234518,5,2022,llb1,llb1_19,llb1_bird1,Female,1657643100,1657760700,12/07/2022 18:25,14/07/2022 03:05,117600,1960,32.66666667,incu,16/07/2022,L,12/07/2022,41
47,6234518,5,2022,llb1,llb1_21,llb1_bird1,Female,1657872000,1657925400,15/07/2022 10:00,16/07/2022 00:50,53400,890,14.83333333,incu,16/07/2022,L,15/07/2022,44
48,6234518,5,2022,llb1,llb1_9,llb1_bird1,Female,1657137300,1657149900,06/07/2022 21:55,07/07/2022 01:25,12600,210,3.5,incu,16/07/2022,L,06/07/2022,35
49,6234518,5,2022,llb1,llb1_13,llb1_bird1,Female,1657300800,1657381800,08/07/2022 19:20,09/07/2022 17:50,81000,1350,22.5,incu,16/07/2022,L,08/07/2022,37
50,6255204,6,2022,I3,I3_9,I3_bird1,Male,1656573600,1656718800,30/06/2022 09:20,02/07/2022 01:40,145200,2420,40.33333333,incu,14/07/2022,L,30/06/2022,29
51,6255204,6,2022,I3,I3_7,I3_bird1,Male,1656541500,1656561000,30/06/2022 00:25,30/06/2022 05:50,19500,325,5.416666667,incu,14/07/2022,L,30/06/2022,29
52,6255204,6,2022,I3,I3_1,I3_bird1,Male,1656145800,1656331800,25/06/2022 10:30,27/06/2022 14:10,186000,3100,51.66666667,incu,14/07/2022,L,25/06/2022,24
53,6255204,6,2022,I3,I3_13,I3_bird1,Male,1656966900,1656983400,04/07/2022 22:35,05/07/2022 03:10,16500,275,4.583333333,incu,14/07/2022,L,04/07/2022,33
54,6255204,6,2022,I3,I3_15,I3_bird1,Male,1656999300,1657020300,05/07/2022 07:35,05/07/2022 13:25,21000,350,5.833333333,incu,14/07/2022,L,05/07/2022,34
55,2,6207505,2022,F5,F5_12,F5_GaporTrip,Female,1657066800,1657258200,06/07/2022 02:20,08/07/2022 07:30,191400,3190,53.16666667,incu,12/07/2022,P,06/07/2022,35
56,2,6207505,2022,F5,F5_8,F5_GaporTrip,Female,1657009800,1657021500,05/07/2022 10:30,05/07/2022 16:50,11700,380,6.333333333,incu,12/07/2022,P,05/07/2022,34
57,2,6207505,2022,F5,F5_14,F5_GaporTrip,Female,1657348500,1657518900,09/07/2022 08:35,11/07/2022 07:55,170400,2840,47.33333333,incu,12/07/2022,P,09/07/2022,38
